timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance
911312813,-0.617871,0.0,2.491,2.491,-71.8016,3.36991,1.20907,nan,0.0
1957231506,7.89268e-08,-0.153654,2.491,2.491,-71.8016,110.509,1.20907,nan,0.0
1957733829,0.0606179,0.161192,0.614874,0.614874,0.000126897,50.4176,45.4259,nan,0.0
1958217210,0.160372,0.264496,0.63928,0.639279,0.000106343,45.7252,48.8879,nan,0.0
1958727687,0.139696,0.255974,0.681936,0.681935,8.30736e-05,40.6876,47.9092,nan,0.0
1959229816,0.0644948,0.251366,0.581303,0.201766,-22.9078,138.437,44.1412,nan,0.0
1959737123,0.0525681,0.237537,0.551851,0.193948,-21.1232,133.876,42.7968,nan,0.0
1960238611,0.0531404,0.235255,0.51564,0.185581,-19.3385,129.503,41.8802,nan,0.0
1960741890,0.063448,0.0318356,0.491794,0.176014,-17.5388,125.263,39.8176,nan,0.0
1961224394,0.0620705,-0.138704,0.454737,0.171047,-16.3843,121.258,40.2647,nan,0.0
1961726900,0.0509774,-0.184406,0.387553,0.166944,-15.2601,116.817,44.2742,nan,0.0
1962233829,0.0619808,-0.133961,0.349413,0.168183,-14.7812,111.908,47.8931,nan,0.0
1962735485,0.059114,-0.0575944,0.318259,0.164234,-13.6721,106.787,49.0303,nan,0.0
1963238569,0.0628923,-0.00449554,0.296906,0.159877,-12.563,101.628,48.6406,nan,0.0
1963745028,0.0794356,-0.0136316,0.289342,0.160966,-12.0841,96.5111,48.15,nan,0.0
1964247639,0.0778694,-0.0207285,0.277701,0.162915,-11.6203,91.4641,48.4821,nan,0.0
1964749829,0.0781578,0.00220029,0.265416,0.165096,-11.1565,86.337,48.9882,nan,0.0
1965232329,0.104102,0.0066801,0.270229,0.17537,-11.338,81.4466,48.7818,nan,0.0
1965734923,0.113921,0.0285957,0.269822,0.186993,-11.5194,76.3266,49.6473,nan,0.0
1966238392,0.131517,0.0376844,0.261859,0.191367,-11.0556,71.2254,49.2956,nan,0.0
1966744412,0.127764,0.0292203,0.288893,0.215484,-11.8824,66.2165,47.4286,nan,0.0
1967250788,0.113299,0.0281721,0.2797,0.222946,-11.4186,61.2826,47.2581,nan,0.0
1967754029,0.13569,0.0374439,0.281526,0.242911,-11.6001,56.36,47.6599,nan,0.0
1968256021,0.146531,0.0591693,0.283248,0.266711,-11.7816,51.4752,48.0757,nan,0.0
1968762064,0.155194,0.0232812,0.332363,0.734591,27.3919,137.462,48.3413,nan,0.0
1969265565,0.215091,-0.0560635,0.443329,0.758733,23.3394,133.603,49.4577,nan,0.0
1969747591,0.267485,-0.0649844,0.568238,0.785753,19.2446,129.843,53.6973,nan,0.0
1970250079,0.302291,-0.051075,0.678465,0.819233,14.4673,125.435,57.0659,nan,0.0
1970761285,0.288996,-0.0952268,0.754976,0.847915,10.457,120.503,58.4724,nan,0.0
1971267430,0.309543,-0.109206,0.83568,0.881856,6.10558,115.31,61.7108,nan,0.0
1971769818,0.297659,-0.088406,0.891254,0.908678,2.86243,109.563,65.783,nan,0.0
1972252835,0.301085,-0.0544879,0.939707,0.93805,-0.338415,103.472,68.6995,nan,0.0
1972758912,0.250681,-0.0185961,0.984593,0.971277,-3.53926,96.7942,71.0816,nan,0.0
1973267173,0.24299,-0.00714626,1.01528,0.997441,-5.6318,89.7281,70.0394,nan,0.0
1973772467,0.203823,-0.0105549,1.04419,1.02399,-7.34079,82.6603,67.2258,nan,0.0
1974274622,0.175206,0.0119086,1.06697,1.04547,-8.40962,75.9577,63.8053,nan,0.0
1974777228,0.142629,0.0152988,1.08549,1.06633,-9.09491,69.5683,60.5753,nan,0.0
1975279667,0.108087,-0.0612292,1.09932,1.09047,-9.82251,63.2578,59.9656,nan,0.0
1975781727,0.444441,-0.134916,2.09159,2.22166,55.89,91.6178,60.9456,nan,0.0
1976265225,0.530025,-0.127951,2.09159,2.29488,49.2827,89.7378,65.8459,nan,0.0
1976767198,0.580339,-0.115338,2.2618,2.37306,42.1631,87.4059,73.0604,nan,0.0
1977270643,0.667869,-0.0746993,2.58781,3.00999,66.4301,186.963,85.4541,nan,0.0
1977772345,0.667637,0.012602,2.65459,3.05856,57.8265,186.885,87.8366,nan,0.0
1978279493,0.709756,0.00213222,2.83913,3.11025,48.205,185.58,94.6971,nan,0.0
1978781759,0.749329,-0.0555125,3.01329,-3.11682,37.4682,182.548,106.387,nan,0.0
1979288230,0.74601,-0.10315,-3.13857,-3.05783,26.1472,177.436,115.387,nan,0.0
1979790670,0.709987,-0.0898766,-3.04173,-3.00408,15.9326,169.545,121.287,nan,0.0
1980292858,0.657262,-0.0711631,-2.9635,-2.95108,6.58547,160.137,123.115,nan,0.0
1980775626,0.557925,-0.0578358,-2.9013,-2.90285,-1.07102,149.96,123.307,nan,0.0
1981279435,0.521287,-0.0255334,-2.85668,-2.863,-6.50581,138.533,122.099,nan,0.0
1981785122,0.480286,-0.0299821,-2.816,-2.82075,-11.3121,127.026,120.536,nan,0.0
1982286922,0.421288,-0.233402,-2.77919,-2.90707,-36.1114,194.285,116.692,nan,0.0
1982789915,0.39256,-0.500694,-2.75801,-2.89141,-36.6989,182.702,111.37,nan,0.0
1983296209,0.312329,-0.36371,-2.74229,-2.87851,-36.601,171.483,106.298,nan,0.0
1983799280,0.206128,-0.37492,-2.73647,-2.86911,-35.8176,160.582,102.399,nan,0.0
1984301928,0.0551393,-0.318892,-2.76704,-2.87082,-33.0993,149.674,103.118,nan,0.0
1984783453,0.0266727,-0.401956,-2.78715,-2.87442,-30.3405,139.377,100.507,nan,0.0
1985289866,-0.00599294,-0.282779,-2.82187,-2.87773,-27.6019,128.624,102.76,nan,0.0
1985793031,-0.0403343,-0.212898,-2.8583,-2.88602,-24.2386,117.623,103.876,nan,0.0
1986295279,-0.00759771,-0.247975,-2.87852,-2.89117,-21.5,106.775,100.64,nan,0.0
1986798491,0.0352507,-0.275228,-2.8828,-2.88447,-20.0514,96.3997,95.7336,nan,0.0
1987301179,0.0342519,-0.360695,-2.89886,-2.88467,-17.9375,86.4597,92.5985,nan,0.0
1987807439,0.123908,-0.129537,-2.51174,-2.51174,93.8751,123.974,94.1159,nan,0.0
1988309719,-0.0667145,0.139675,-2.4775,-2.4775,84.1939,114.194,103.147,nan,0.0
1988811721,-0.123232,0.230198,-2.4417,-2.44169,74.2542,103.999,102.079,nan,0.0
1989318651,-0.107003,0.075269,-2.39841,-2.39841,64.4761,94.5136,97.6426,nan,0.0
1989817319,-0.0935858,0.00294722,-2.3383,-2.3383,56.1374,85.9185,94.9653,nan,0.0
1990324046,-0.0709585,-0.0938661,-2.26676,-2.26676,47.4081,77.7443,95.7725,nan,0.0
1990806728,-0.0225653,-0.085199,-2.18232,-2.18232,40.1886,70.3066,98.8631,nan,0.0
1991308998,0.133718,-0.0429525,-2.06181,-2.06181,32.9711,63.0778,101.177,nan,0.0
1991816023,0.313633,0.00209016,-1.91294,-1.91294,26.8919,56.8467,101.7,nan,0.0
1992322549,0.420348,0.0303703,-1.74367,-1.74367,21.7832,51.556,99.2295,nan,0.0
1992825129,0.59153,0.0116269,-1.54417,-1.54417,17.7997,47.5908,97.2484,nan,0.0
1993327207,0.622491,-0.00038049,-1.33969,-1.33969,14.4444,44.5524,94.2759,nan,0.0
1993829952,0.658519,-0.0420866,-1.11759,-1.11759,11.6567,41.9748,91.258,nan,0.0
1994337609,0.547701,-0.104599,-0.891528,-0.891527,9.83665,39.7913,83.228,nan,0.0
1994839602,0.453614,-0.00792038,-0.69176,-0.691759,7.45355,37.2768,75.9599,nan,0.0
1995342537,0.393928,0.00678416,-0.480565,-0.480564,4.92002,35.0395,68.7946,nan,0.0
1995823694,0.36746,-0.0564201,-0.29554,-0.29554,3.25489,33.205,63.3912,nan,0.0
1996327194,0.385969,-0.102717,-0.102496,-0.102496,1.55455,31.7378,60.7849,nan,0.0
1996833038,0.451942,-0.106926,0.105323,0.105323,0.710777,30.8382,60.3382,nan,0.0
1997335720,0.40268,-0.0714612,0.303714,0.303714,0.227333,30.3725,57.6603,nan,0.0
1997838910,0.400533,-0.0037086,0.49526,0.49526,-0.109686,29.9876,55.0714,nan,0.0
1998345194,0.342187,0.0227865,0.685333,0.685333,-0.414351,29.8159,50.4193,nan,0.0
1998847625,0.304855,-0.0217809,0.858593,0.858592,-0.142368,29.7308,45.788,nan,0.0
1999349852,0.297677,-0.0988255,1.01348,1.01348,-0.326941,29.8935,44.0089,nan,0.0
1999853214,0.301461,-0.0985747,1.17958,1.17958,0.0349293,30.0543,44.4832,nan,0.0
2000334662,0.316505,-0.117315,1.32754,1.32754,-0.0615177,30.0844,47.197,nan,0.0
2000838850,0.106794,-0.0427254,0.0795382,0.0874565,0.409127,256.778,49.5405,nan,0.0
2001344938,0.0285815,0.109379,0.10233,0.0883555,-0.717612,251.439,49.3776,nan,0.0
2001847346,0.0256436,0.0331582,0.0990208,0.0881699,-0.483513,246.48,43.0789,nan,0.0
2002349315,0.0248212,0.0250717,0.11138,0.0884706,-0.855447,242.297,36.2766,nan,0.0
2002857095,0.00542614,-0.0629703,0.125869,0.088743,-1.19019,238.741,31.2691,nan,0.0
2003361982,-0.00829525,-0.0371191,0.115372,0.0884354,-0.807314,235.545,29.2808,nan,0.0
2003866585,-0.00927252,-0.0622977,0.125285,0.0886482,-1.06767,232.494,28.4868,nan,0.0
2006869267,-0.078866,-0.0230855,-0.00363465,0.0857701,2.44163,213.743,26.7418,nan,0.0
2007368081,-0.0870533,-0.0383737,-0.0368552,0.085389,2.89889,211.248,23.3162,nan,0.0
2007870545,-0.0933968,-0.171133,-0.0645023,0.0850066,3.35615,209.052,22.122,nan,0.0
2008376274,-0.0829184,-0.0166734,-0.0680689,0.0846525,3.77622,206.717,24.3258,nan,0.0
2008883590,-0.0590417,0.0517089,-0.104358,0.0842672,4.23348,204.337,22.1678,nan,0.0
2009381687,-0.01531,0.0493564,-0.123447,0.0844157,4.04751,202.243,19.3036,nan,0.0
2009888489,-0.0068827,0.0397278,-0.123638,0.0845647,3.86154,200.351,18.4003,nan,0.0
2010391459,-0.0238998,0.0302444,-0.0902961,0.0846843,3.71277,198.385,20.958,nan,0.0
2010873923,-0.0568359,0.0627963,-0.0529417,0.0848643,3.48961,196.127,24.877,nan,0.0
2011380096,-0.044805,0.0704407,-0.0606446,0.084506,3.90967,193.375,26.4352,nan,0.0
2011882723,-0.0352476,0.0772226,-0.0510182,0.0847166,3.64932,190.598,26.3737,nan,0.0
2012385958,-0.024663,0.103703,-0.0472379,0.0848979,3.42616,187.849,25.4497,nan,0.0
2012892141,-0.0366496,0.0949199,-0.0641305,0.0845674,3.80903,185.149,25.1681,nan,0.0
2013394458,-0.0225507,0.116483,-0.0582176,0.0847493,3.58587,182.494,24.6459,nan,0.0
2013901249,-0.0368064,0.110809,-0.0442902,0.0849319,3.36271,179.836,25.5325,nan,0.0
2014383309,-0.0599831,0.105298,-0.057345,0.0845688,3.78278,177.22,26.1544,nan,0.0
2014906656,-0.0451044,0.0897762,-0.056002,0.0847824,3.52243,174.329,24.5802,nan,0.0
2015408126,-0.0490176,0.119128,-0.0844164,0.0844173,3.94249,171.821,23.0067,nan,0.0
2015910559,-0.0795432,0.136125,-0.0591147,0.0845702,3.75653,169.395,25.6622,nan,0.0
2016393779,-0.125136,0.0771212,-0.0548869,0.0837125,4.74543,166.335,33.3715,nan,0.0
2016896078,-0.158471,0.0225181,-0.0852082,0.0828195,5.77153,162.915,33.5275,nan,0.0
2017398543,-0.131821,-0.00473677,-0.130897,0.0825067,6.11721,159.852,28.1958,nan,0.0
2017901589,-0.113781,-0.0386866,-0.171963,0.0815756,7.1805,157.035,27.9562,nan,0.0
2018407681,0.0275039,-0.0754982,-0.146227,0.0817853,6.92015,154.0,29.842,nan,0.0
2018910029,0.0530809,-0.0672715,-0.0944904,0.0831448,5.33615,150.895,29.4361,nan,0.0
2019412387,0.035187,-0.106512,-0.0711868,0.0838893,4.46976,148.068,28.2334,nan,0.0
2019919400,0.0630483,-0.0409228,-0.0439958,0.0846684,3.56618,145.188,27.1376,nan,0.0
2020422866,0.0307048,-0.0887407,-0.014195,0.0854514,2.6626,142.507,26.1514,nan,0.0
2020904172,-0.00581453,-0.0769079,-0.00375047,0.085642,2.43945,139.836,26.6841,nan,0.0
2021411211,-0.0384953,-0.0551746,-0.0172321,0.0852995,2.82232,137.014,26.9213,nan,0.0
2021909744,-0.0298338,-0.111958,-0.0140958,0.0854907,2.59916,134.279,25.553,nan,0.0
2022417027,-0.0453883,-0.172765,-0.0176513,0.0851462,2.98203,131.463,28.3321,nan,0.0
2022922436,-0.0376959,-0.129165,-0.000418104,0.08537,2.72168,128.346,30.8929,nan,0.0
2023425853,-0.0536213,-0.0269371,-0.00555497,0.0850553,3.06736,124.992,32.9059,nan,0.0
2023932126,-0.042844,-0.0100681,-0.0224706,0.0847387,3.41303,121.586,31.0152,nan,0.0
2024430646,-0.0301434,-0.0230645,-0.0238043,0.0849635,3.15268,118.497,28.3083,nan,0.0
2024936941,0.013373,0.0198683,-0.0146162,0.0851894,2.89233,115.572,28.2913,nan,0.0
2025439580,0.0197118,0.0581019,-0.00117719,0.0854165,2.63198,112.574,29.6205,nan,0.0
2025922846,-0.0128497,0.077711,0.00838596,0.0856448,2.37162,109.524,29.8967,nan,0.0
2026424428,-0.0363275,0.0530466,0.0171334,0.0859072,2.07407,106.421,29.376,nan,0.0
2026931431,-0.0531866,0.0427356,0.00528473,0.0855551,2.45695,103.283,29.8107,nan,0.0
2027433867,-0.0599615,0.0262962,-0.00565815,0.085201,2.83982,100.145,30.4314,nan,0.0
2027936772,-0.0748069,0.012672,-0.0102553,0.0848777,3.1855,96.9193,32.54,nan,0.0
2028438707,-0.0624236,0.0181279,-0.0196662,0.0845524,3.53118,93.5217,32.9228,nan,0.0
2028941223,-0.0251079,0.0691073,-0.0288591,0.0842251,3.87686,90.016,33.3088,nan,0.0
2029448278,-0.0412321,0.0910591,-0.0251902,0.0844879,3.57931,86.5531,31.7465,nan,0.0
2029958007,-0.0195,0.085178,-0.0244734,0.0847523,3.28176,83.2915,29.2925,nan,0.0
2030437727,0.0173866,0.0733897,-0.0135178,0.084985,3.02141,80.3282,29.8732,nan,0.0
2030943685,0.0132898,0.0766164,0.000950463,0.0852525,2.72386,77.0576,31.4037,nan,0.0
2031446837,-0.0125941,0.0730902,0.00807744,0.085488,2.46351,73.7412,30.9351,nan,0.0
2031952859,-0.0187305,0.0653257,0.0192637,0.0857587,2.16596,70.3949,31.6295,nan,0.0
2032460280,-0.0299265,0.0902241,0.0134433,0.0854282,2.51164,66.9126,33.8109,nan,0.0
2032958448,-0.0434806,0.0,0.00759358,0.0851295,2.82013,63.2798,35.2001,nan,0.0
2033441074,-0.00869438,0.00171707,0.0872035,0.0872035,0.0,59.7896,31.8723,nan,0.0
2033942424,-0.0427809,0.00226048,0.0872035,0.0872035,0.0,56.3935,29.6231,nan,0.0
2034450124,0.0162025,0.00839944,0.0872035,0.0872035,0.0,53.152,28.9528,nan,0.0
2034952308,0.00555016,0.00932019,0.0872035,0.0872035,0.0,49.956,28.9516,nan,0.0
2035458684,-0.0135213,0.00932019,0.0872035,0.0872035,0.0,46.7478,28.5252,nan,0.0
2035961969,0.0204442,0.0105753,0.0872035,0.0872035,0.0,43.742,27.4529,nan,0.0
2036463702,-0.00589457,0.018501,0.0872035,0.0872035,0.0,40.8349,27.6474,nan,0.0
2036967423,-0.0226619,0.0219125,0.0872035,0.0872035,0.0,38.0045,26.9486,nan,0.0
2037473030,-0.0661869,0.024922,0.0872035,0.0872035,0.0,35.4327,27.9019,nan,0.0
2037979325,-0.0354529,0.0311908,0.0872035,0.0872035,0.0,33.0996,28.1474,nan,0.0
2038482057,-0.0214009,0.0430342,0.0872035,0.0872035,0.0,30.8807,29.9448,nan,0.0
2038976953,-0.0670567,0.0436332,0.0872035,0.0872035,0.0,28.5703,33.3211,nan,0.0
2039483424,-0.0673923,0.0436332,0.0872035,0.0872035,0.0,26.4898,35.0381,nan,0.0
2039987214,-0.0482525,0.0436332,0.0872035,0.0872035,0.0,24.7664,32.4402,nan,0.0
2040491708,-0.0838767,0.0436332,0.0872035,0.0872035,0.0,23.3862,32.2432,nan,0.0
2040974752,-0.0773227,0.0436332,0.0872035,0.0872035,0.0,22.3883,32.1304,nan,0.0
2041477650,-0.00501998,0.0436332,0.0872035,0.0872035,0.0,21.8007,30.3318,nan,0.0
2041983559,0.0484203,0.0436332,0.0872035,0.0872035,0.0,21.7013,31.0034,nan,0.0
2042490592,0.00821696,0.0436332,0.0872035,0.0872035,0.0,21.905,26.2446,nan,0.0
2042989711,-0.0879021,0.0436332,0.0872035,0.0872035,0.0,22.4006,19.6324,nan,0.0
2043496293,-0.0156756,0.0436332,0.0872035,0.0872035,0.0,22.9347,7.86816,nan,0.0
2043998031,-0.000680012,0.0436332,0.0872035,0.0872035,0.0,22.9908,0.320118,nan,0.0
2044480513,-0.000877837,0.0436332,0.0872035,0.0872035,0.0,22.9627,0.412068,nan,0.0
2044983575,-0.000813657,0.0436332,0.0872035,0.0872035,0.0,22.9491,0.380106,nan,0.0
2045485808,-0.000751144,0.0436332,0.0872035,0.0872035,0.0,22.9516,0.350988,nan,0.0
2045991472,-0.00067771,0.0436332,0.0872035,0.0872035,0.0,22.9693,0.329117,nan,0.0
2046494495,-0.000460139,0.0436332,0.0872035,0.0872035,0.0,22.9657,0.222646,nan,0.0
2046996864,-0.000200254,0.0436332,0.0872035,0.0872035,0.0,22.9609,0.0975943,nan,0.0
2047503466,-0.000167005,0.0436332,0.0872035,0.0872035,0.0,22.961,0.0821948,nan,0.0
2047990875,-0.000210982,0.0436332,0.0872035,0.0872035,0.0,22.9536,0.10456,nan,0.0
2048497249,-0.000345005,0.0436332,0.0872035,0.0872035,0.0,22.9504,0.171776,nan,0.0
2048999429,-0.000439014,0.0436332,0.0872035,0.0872035,0.0,22.9557,0.21949,nan,0.0
2049506490,-0.000373604,0.0436332,0.0872035,0.0872035,0.0,22.9761,0.188166,nan,0.0
2050005150,-0.000430423,0.0436332,0.0872035,0.0872035,0.0,22.9951,0.217661,nan,0.0
2050511618,-0.000414599,0.0436332,0.0872035,0.0872035,0.0,23.0171,0.209647,nan,0.0
2051013868,-0.000424459,0.0436332,0.0872035,0.0872035,0.0,23.0315,0.216542,nan,0.0
2051516257,-0.000381288,0.0436332,0.0872035,0.0872035,0.0,23.0556,0.193852,nan,0.0
2051998120,-0.00480526,0.0,-2.84071,-2.84071,-0.000487667,115.341,0.477465,nan,0.0
