timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1816794029,5.26743,0.0,0,0,1,0,0,0,0
1817304031,5.27065,0.0,0,0,1,0,0,0,0
1817804041,5.2771,0.0,0,0,1,0,0,0,0
1818304097,5.27065,0.0,0,0,1,0,0,0,0
1818804029,5.2771,0.0,0,0,1,0,0,0,0
1819314444,5.26099,0.0,0,0,1,0,0,0,0
1819814029,5.2771,0.0,0,0,1,0,0,0,0
1820314061,5.21587,0.0,0,0,1,0,0,0,0
1820814866,5.28032,0.0,0,0,1,0,0,0,0
1821314034,5.28355,0.0,0,0,1,0,0,0,0
1821814084,5.26099,0.0,0,0,1,0,0,0,0
1822314038,5.27871,0.0,0,0,1,0,0,0,0
1822824176,5.28032,0.0,0,0,1,0,0,0,0
1823324054,5.2771,0.0,0,0,1,0,0,0,0
1823824035,5.27549,0.0,0,0,1,0,0,0,0
1824324031,5.27388,0.0,0,0,1,0,0,0,0
1824824057,5.27065,0.0,0,0,1,0,0,0,0
1825324126,5.27871,0.0,0,0,1,0,0,0,0
1825824032,5.28032,0.0,0,0,1,0,0,0,0
1826334799,5.24971,0.0,0,0,1,0,0,0,0
1826834029,5.27227,0.0,0,0,1,0,0,0,0
1827334031,5.20298,0.0,0,0,1,0,0,0,0
1827835261,5.27871,0.0,0,0,1,0,0,0,0
1828334030,5.27388,0.0,0,0,1,0,0,0,0
1828834029,5.2771,0.0,0,0,1,0,0,0,0
1829334420,5.27871,0.0,0,0,1,0,0,0,0
1829834029,5.27388,0.0,0,0,1,0,0,0,0
1830335372,5.28032,0.0,0,0,1,0,0,0,0
1830844029,5.26743,0.0,0,0,1,0,0,0,0
1831345007,5.24971,0.0,0,0,1,0,0,0,0
1831844067,5.21265,0.0,0,0,1,0,0,0,0
1832344105,5.2771,0.0,0,0,1,0,0,0,0
1832844023,5.27227,0.0,0,0,1,0,0,0,0
1833344029,5.28032,0.0,0,0,1,0,0,0,0
1833854623,5.27549,0.0,0,0,1,0,0,0,0
1834354082,5.27227,0.0,0,0,1,0,0,0,0
1834854031,5.26743,0.0,0,0,1,0,0,0,0
1835354038,5.27227,0.0,0,0,1,0,0,0,0
1835854029,5.21104,0.0,0,0,1,0,0,0,0
1836364029,5.26421,0.0,0,0,1,0,0,0,0
1836864101,5.2771,0.0,0,0,1,0,0,0,0
1837364040,5.27871,0.0,0,0,1,0,0,0,0
1837864031,5.2771,0.0,0,0,1,0,0,0,0
1838364044,5.28032,0.0,0,0,1,0,0,0,0
1838864360,5.27871,0.0,0,0,1,0,0,0,0
1839374032,5.27388,0.0,0,0,1,0,0,0,0
1839874033,5.21265,0.0,0,0,1,0,0,0,0
1840374853,5.2771,0.0,0,0,1,0,0,0,0
1840874029,5.2771,0.0,0,0,1,0,0,0,0
1841374029,5.27871,0.0,0,0,1,0,0,0,0
1841874066,5.2771,0.0,0,0,1,0,0,0,0
1842374388,5.27549,0.0,0,0,1,0,0,0,0
1842874029,5.26743,0.0,0,0,1,0,0,0,0
1843374467,5.28032,0.0,0,0,1,0,0,0,0
1843874029,5.27388,0.0,0,0,1,0,0,0,0
1844374069,5.25132,0.0,0,0,1,0,0,0,0
1844874029,5.26743,0.0,0,0,1,0,0,0,0
1845374029,5.26904,0.0,0,0,1,0,0,0,0
1845874746,5.26904,0.0,0,0,1,0,0,0,0
1846384031,5.27388,0.0,0,0,1,0,0,0,0
1846884056,5.21587,0.0,0,0,1,0,0,0,0
1847384031,5.2771,0.0,0,0,1,0,0,0,0
1847884140,5.2771,0.0,0,0,1,0,0,0,0
1848384154,5.26904,0.0,0,0,1,0,0,0,0
1848884035,5.27065,0.0,0,0,1,0,0,0,0
1849384036,5.25454,0.0,0,0,1,0,0,0,0
1849884037,5.27388,0.0,0,0,1,0,0,0,0
1850394110,5.28193,0.0,0,0,1,0,0,0,0
1850894029,5.22231,0.0,0,0,1,0,0,0,0
1851394121,5.28193,0.0,0,0,1,0,0,0,0
1851894368,5.2771,0.0,0,0,1,0,0,0,0
1852404031,5.27549,0.0,0,0,1,0,0,0,0
1852904036,5.27549,0.0,0,0,1,0,0,0,0
1853404194,5.2771,0.0,0,0,1,0,0,0,0
1853904040,5.21587,0.0,0,0,1,0,0,0,0
1854404034,5.27388,0.0,0,0,1,0,0,0,0
1854904085,5.28193,0.0,0,0,1,0,0,0,0
1855404031,5.28032,0.0,0,0,1,0,0,0,0
1855904074,5.28193,0.0,0,0,1,0,0,0,0
1856404112,5.28516,0.0,0,0,1,0,0,0,0
1856904509,5.21587,0.0,0,0,1,0,0,0,0
1857404029,5.27549,0.0,0,0,1,0,0,0,0
1857904068,5.28355,0.0,0,0,1,0,0,0,0
1858404086,5.26421,0.0,0,0,1,0,0,0,0
1858904180,5.2771,0.0,0,0,1,0,0,0,0
1859404345,5.21909,0.0,0,0,1,0,0,0,0
1859914050,5.2771,0.0,0,0,1,0,0,0,0
1860414029,5.2771,0.0,0,0,1,0,0,0,0
1860914029,5.20781,0.0,0,0,1,0,0,0,0
1861414880,5.27227,0.0,0,0,1,0,0,0,0
1861914039,5.27227,0.0,0,0,1,0,0,0,0
1862414029,5.21265,0.0,0,0,1,0,0,0,0
1862914039,5.27388,0.0,0,0,1,0,0,0,0
1863414049,5.28032,0.0,0,0,1,0,0,0,0
1863914047,5.2771,0.0,0,0,1,0,0,0,0
1864424032,5.27549,0.0,0,0,1,0,0,0,0
1864924065,5.21265,0.0,0,0,1,0,0,0,0
1865424029,5.27065,0.0,0,0,1,0,0,0,0
1865924035,5.27388,0.0,0,0,1,0,0,0,0
1866424112,5.20298,0.0,0,0,1,0,0,0,0
1866924070,5.27227,0.0,0,0,1,0,0,0,0
1867424039,5.28032,0.0,0,0,1,0,0,0,0
1867934029,5.28193,0.0,0,0,1,0,0,0,0
1868435260,5.27388,0.0,0,0,1,0,0,0,0
1868934029,5.27549,0.0,0,0,1,0,0,0,0
1869444029,5.28032,0.0,0,0,1,0,0,0,0
1869944029,5.27388,0.0,0,0,1,0,0,0,0
1870444030,5.21748,0.0,0,0,1,0,0,0,0
1870944031,5.27388,0.0,0,0,1,0,0,0,0
1871444035,5.28032,0.0,0,0,1,0,0,0,0
1871944120,5.21265,0.0,0,0,1,0,0,0,0
1872444051,5.27871,0.0,0,0,1,0,0,0,0
1872944030,5.27065,0.0,0,0,1,0,0,0,0
1873444898,5.27227,0.0,0,0,1,0,0,0,0
1873954054,5.27549,0.0,0,0,1,0,0,0,0
1874454039,5.27065,0.0,0,0,1,0,0,0,0
1874954029,5.25938,0.0,0,0,1,0,0,0,0
1875454726,5.27549,0.0,0,0,1,0,0,0,0
1875954059,5.2771,0.0,0,0,1,0,0,0,0
1876454029,5.27227,0.0,0,0,1,0,0,0,0
1876954031,5.26743,0.0,0,0,1,0,0,0,0
1877454034,5.2771,0.0,0,0,1,0,0,0,0
1877954042,5.26743,0.0,0,0,1,0,0,0,0
1878464076,5.27871,0.0,0,0,1,0,0,0,0
1878964157,5.26743,0.0,0,0,1,0,0,0,0
1879464833,5.27065,0.0,0,0,1,0,0,0,0
1879974046,5.28032,0.0,0,0,1,0,0,0,0
1880474029,5.27388,0.0,0,0,1,0,0,0,0
1880974097,5.26743,0.0,0,0,1,0,0,0,0
1881474029,5.28032,0.0,0,0,1,0,0,0,0
1881974029,5.27871,0.0,0,0,1,0,0,0,0
1882474080,5.2771,0.0,0,0,1,0,0,0,0
1882974103,5.28032,0.0,0,0,1,0,0,0,0
1883474029,5.27871,0.0,0,0,1,0,0,0,0
1883974080,5.2771,0.0,0,0,1,0,0,0,0
1884484141,5.21587,0.0,0,0,1,0,0,0,0
1884984037,5.2771,0.0,0,0,1,0,0,0,0
1885484029,5.2771,0.0,0,0,1,0,0,0,0
1885984859,5.2771,0.0,0,0,1,0,0,0,0
1886484029,5.28032,0.0,0,0,1,0,0,0,0
1886994032,5.27871,0.0,0,0,1,0,0,0,0
1887494029,5.21104,0.0,0,0,1,0,0,0,0
1887994034,5.2771,0.0,0,0,1,0,0,0,0
1889004032,5.27065,0.0,0,0,1,0,0,0,0
1890504075,5.2771,0.0,0,0,1,0,0,0,0
1891004042,5.27388,0.0,0,0,1,0,0,0,0
1891504442,5.21265,0.0,0,0,1,0,0,0,0
1892004121,5.27871,0.0,0,0,1,0,0,0,0
1892504127,5.27065,0.0,0,0,1,0,0,0,0
1893005162,5.27549,0.0,0,0,1,0,0,0,0
1893504032,5.26743,0.0,0,0,1,0,0,0,0
1894014031,5.28032,0.0,0,0,1,0,0,0,0
1894514029,5.27871,0.0,0,0,1,0,0,0,0
1895014032,5.2771,0.0,0,0,1,0,0,0,0
1895514029,5.21748,0.0,0,0,1,0,0,0,0
1896014036,5.26743,0.0,0,0,1,0,0,0,0
1896514469,5.2771,0.0,0,0,1,0,0,0,0
1897024149,5.23843,0.0,0,0,1,0,0,0,0
1897524106,5.27871,0.0,0,0,1,0,0,0,0
1898024029,5.27388,0.0,0,0,1,0,0,0,0
1898524830,5.27871,0.0,0,0,1,0,0,0,0
1899035247,5.27549,0.0,0,0,1,0,0,0,0
1899534505,5.27388,0.0,0,0,1,0,0,0,0
1900034029,5.26421,0.0,0,0,1,0,0,0,0
1900535421,5.26743,0.0,0,0,1,0,0,0,0
1901034089,5.20781,0.0,0,0,1,0,0,0,0
1901534029,5.27388,0.0,0,0,1,0,0,0,0
1902034033,5.2771,0.0,0,0,1,0,0,0,0
1902534029,5.20942,0.0,0,0,1,0,0,0,0
1903034031,5.2771,0.0,0,0,1,0,0,0,0
1903534029,5.27227,0.0,0,0,1,0,0,0,0
1904034029,5.26743,0.0,0,0,1,0,0,0,0
1904534044,5.21104,0.0,0,0,1,0,0,0,0
1905034032,5.2771,0.0,0,0,1,0,0,0,0
1905544389,5.21265,0.0,0,0,1,0,0,0,0
1906044029,5.2771,0.0,0,0,1,0,0,0,0
1906544079,5.2771,0.0,0,0,1,0,0,0,0
1907044031,5.28193,0.0,0,0,1,0,0,0,0
1907554425,5.27227,0.0,0,0,1,0,0,0,0
1908054029,5.21587,0.0,0,0,1,0,0,0,0
1908554144,5.28032,0.0,0,0,1,0,0,0,0
1909064036,5.28193,0.0,0,0,1,0,0,0,0
1909564093,5.20781,0.0,0,0,1,0,0,0,0
1910064091,5.28032,0.0,0,0,1,0,0,0,0
1910564047,5.27388,0.0,0,0,1,0,0,0,0
1911065827,5.2771,0.0,0,0,1,0,0,0,0
1911564032,5.2771,0.0,0,0,1,0,0,0,0
1912064052,5.27388,0.0,0,0,1,0,0,0,0
1912564118,5.20781,0.0,0,0,1,0,0,0,0
1913064029,5.26904,0.0,0,0,1,0,0,0,0
1913564100,5.21265,0.0,0,0,1,0,0,0,0
1914074033,5.2771,0.0,0,0,1,0,0,0,0
1914574401,5.2771,0.0,0,0,1,0,0,0,0
1915074066,5.21265,0.0,0,0,1,0,0,0,0
1915574029,5.26743,0.0,0,0,1,0,0,0,0
1916074029,5.27388,0.0,0,0,1,0,0,0,0
1916574357,5.21265,0.0,0,0,1,0,0,0,0
1917074030,5.2771,0.0,0,0,1,0,0,0,0
1917574029,5.27388,0.0,0,0,1,0,0,0,0
1918084419,5.21748,0.0,0,0,1,0,0,0,0
1918584115,5.27549,0.0,0,0,1,0,0,0,0
1919084030,5.21587,0.0,0,0,1,0,0,0,0
1919584095,5.2771,0.0,0,0,1,0,0,0,0
1920084029,5.27549,0.0,0,0,1,0,0,0,0
1920584132,5.21265,0.0,0,0,1,0,0,0,0
1921094727,5.28032,0.0,0,0,1,0,0,0,0
1921594370,5.28193,0.0,0,0,1,0,0,0,0
1922094029,5.27388,0.0,0,0,1,0,0,0,0
1922594114,5.28355,0.0,0,0,1,0,0,0,0
1923094031,5.2771,0.0,0,0,1,0,0,0,0
1923605006,5.21587,0.0,0,0,1,0,0,0,0
1924104029,5.27549,0.0,0,0,1,0,0,0,0
1924604063,5.21748,0.0,0,0,1,0,0,0,0
1925104891,5.27871,0.0,0,0,1,0,0,0,0
1925615396,5.2771,0.0,0,0,1,0,0,0,0
1926114029,5.20781,0.0,0,0,1,0,0,0,0
1926614029,5.21587,0.0,0,0,1,0,0,0,0
1927114029,5.27388,0.0,0,0,1,0,0,0,0
1927614029,5.21104,0.0,0,0,1,0,0,0,0
1928114029,5.27227,0.0,0,0,1,0,0,0,0
1928614102,5.26743,0.0,0,0,1,0,0,0,0
1929124042,5.26904,0.0,0,0,1,0,0,0,0
1929624035,5.2771,0.0,0,0,1,0,0,0,0
1930124095,5.21426,0.0,0,0,1,0,0,0,0
1930624031,5.26743,0.0,0,0,1,0,0,0,0
1931124031,5.27388,0.0,0,0,1,0,0,0,0
1931624036,5.19976,0.0,0,0,1,0,0,0,0
1932124077,5.26421,0.0,0,0,1,0,0,0,0
1932624029,5.27388,0.0,0,0,1,0,0,0,0
1933134081,5.26743,0.0,0,0,1,0,0,0,0
1933634092,5.28032,0.0,0,0,1,0,0,0,0
1934134519,5.28193,0.0,0,0,1,0,0,0,0
1934634086,5.2207,0.0,0,0,1,0,0,0,0
1935134694,5.2771,0.0,0,0,1,0,0,0,0
1935634069,5.27388,0.0,0,0,1,0,0,0,0
1936144040,5.27871,0.0,0,0,1,0,0,0,0
1936644045,5.2771,0.0,0,0,1,0,0,0,0
1937144041,5.21265,0.0,0,0,1,0,0,0,0
1937644029,5.2771,0.0,0,0,1,0,0,0,0
1938144031,5.27871,0.0,0,0,1,0,0,0,0
1938644032,5.21587,0.0,0,0,1,0,0,0,0
1939144094,5.2771,0.0,0,0,1,0,0,0,0
1939644084,5.27227,0.0,0,0,1,0,0,0,0
1940144840,5.21909,0.0,0,0,1,0,0,0,0
1940644029,5.2771,0.0,0,0,1,0,0,0,0
1941144134,5.26743,0.0,0,0,1,0,0,0,0
1941644290,5.2771,0.0,0,0,1,0,0,0,0
1942144029,5.2626,0.0,0,0,1,0,0,0,0
1942644041,5.26904,0.0,0,0,1,0,0,0,0
1943144353,5.2771,0.0,0,0,1,0,0,0,0
1943654041,5.26421,0.0,0,0,1,0,0,0,0
1944154029,5.19492,0.0,0,0,1,0,0,0,0
1944654810,5.26743,0.0,0,0,1,0,0,0,0
1945154058,5.27549,0.0,0,0,1,0,0,0,0
1945654038,5.21587,0.0,0,0,1,0,0,0,0
1946164124,5.2771,0.0,0,0,1,0,0,0,0
1946664151,5.2771,0.0,0,0,1,0,0,0,0
1947164043,5.26421,0.0,0,0,1,0,0,0,0
1947664046,5.27065,0.0,0,0,1,0,0,0,0
1948164067,5.28032,0.0,0,0,1,0,0,0,0
1948664046,5.21265,0.0,0,0,1,0,0,0,0
1949174033,5.27388,0.0,0,0,1,0,0,0,0
1949674069,5.21426,0.0,0,0,1,0,0,0,0
1950174887,5.27388,0.0,0,0,1,0,0,0,0
1950674038,5.25132,0.0,0,0,1,0,0,0,0
1951174029,5.20942,0.0,0,0,1,0,0,0,0
1951674138,5.27388,0.0,0,0,1,0,0,0,0
1952174067,5.26099,0.0,0,0,1,0,0,0,0
1952674029,5.20781,0.0,0,0,1,0,0,0,0
1953174092,5.26421,0.0,0,0,1,0,0,0,0
1953674029,5.26743,0.0,0,0,1,0,0,0,0
1954184032,5.19976,0.0,0,0,1,0,0,0,0
1954684038,5.25776,0.0,0,0,1,0,0,0,0
1955184031,5.27065,0.0,0,0,1,0,0,0,0
1955684069,5.20942,0.0,0,0,1,0,0,0,0
1956184053,5.27388,0.0,0,0,1,0,0,0,0
1956684093,5.21265,0.0,0,0,1,0,0,0,0
1957184047,5.27388,0.0,0,0,1,0,0,0,0
1957694032,5.26421,0.0,0,0,1,0,0,0,0
1958194032,5.25132,0.0,0,0,1,0,0,0,0
1958694910,5.26743,0.0,0,0,1,0,0,0,0
1959194029,5.26099,0.0,0,0,1,0,0,0,0
1959694029,5.26582,0.0,0,0,1,0,0,0,0
1960194033,5.25938,0.0,0,0,1,0,0,0,0
1960694031,5.27871,0.0,0,0,1,0,0,0,0
1961204029,5.27227,0.0,0,0,1,0,0,0,0
1961704031,5.27549,0.0,0,0,1,0,0,0,0
1962204211,5.20781,0.0,0,0,1,0,0,0,0
1962704038,5.28355,0.0,0,0,1,0,0,0,0
1963214461,5.27065,0.0,0,0,1,0,0,0,0
1963714077,5.19653,0.0,0,0,1,0,0,0,0
1964215557,5.27388,0.0,0,0,1,0,0,0,0
1964714040,5.26421,0.0,0,0,1,0,0,0,0
1965214029,5.26099,0.0,0,0,1,0,0,0,0
1965714118,5.26904,0.0,0,0,1,0,0,0,0
1966215353,5.27065,0.0,0,0,1,0,0,0,0
1966714068,5.26421,0.0,0,0,1,0,0,0,0
1967224069,5.27065,0.0,0,0,1,0,0,0,0
1967724060,5.21265,0.0,0,0,1,0,0,0,0
1968224032,5.2626,0.0,0,0,1,0,0,0,0
1968724030,5.27065,0.0,0,0,1,0,0,0,0
1969224944,5.20781,0.0,0,0,1,0,0,0,0
1969724068,5.26743,0.0,0,0,1,0,0,0,0
1970224140,5.27388,0.0,0,0,1,0,0,0,0
1970724045,5.27227,0.0,0,0,1,0,0,0,0
1971224031,5.25938,0.0,0,0,1,0,0,0,0
1971724045,5.25293,0.0,0,0,1,0,0,0,0
1972234029,5.26743,0.0,0,0,1,0,0,0,0
1972735284,5.28193,0.0,0,0,1,0,0,0,0
1973234029,5.2771,0.0,0,0,1,0,0,0,0
1973744031,5.2626,0.0,0,0,1,0,0,0,0
1974244072,5.27871,0.0,0,0,1,0,0,0,0
1974744478,5.21265,0.0,0,0,1,0,0,0,0
1975244034,5.25454,0.0,0,0,1,0,0,0,0
1975744030,5.27549,0.0,0,0,1,0,0,0,0
1976254082,5.26743,0.0,0,0,1,0,0,0,0
1976754029,5.27388,0.0,0,0,1,0,0,0,0
1977254031,5.26904,0.0,0,0,1,0,0,0,0
1977754069,5.27549,0.0,0,0,1,0,0,0,0
1978254481,5.28193,0.0,0,0,1,0,0,0,0
1978754034,5.27388,0.0,0,0,1,0,0,0,0
1979265859,5.27388,0.0,0,0,1,0,0,0,0
1979764107,5.26421,0.0,0,0,1,0,0,0,0
1980264025,5.21265,0.0,0,0,1,0,0,0,0
1980764031,5.27549,0.0,0,0,1,0,0,0,0
1981264077,5.28032,0.0,0,0,1,0,0,0,0
1981764046,5.26099,0.0,0,0,1,0,0,0,0
1982274165,5.2771,0.0,0,0,1,0,0,0,0
1982774031,5.28032,0.0,0,0,1,0,0,0,0
1983274031,5.27871,0.0,0,0,1,0,0,0,0
1983775366,5.27065,0.0,0,0,1,0,0,0,0
1984284041,5.21587,0.0,0,0,1,0,0,0,0
1984784040,5.21748,0.0,0,0,1,0,0,0,0
1985284123,5.27388,0.0,0,0,1,0,0,0,0
1985784521,5.21587,0.0,0,0,1,0,0,0,0
1986284029,5.21426,0.0,0,0,1,0,0,0,0
1986784036,5.28032,0.0,0,0,1,0,0,0,0
1987285167,5.21104,0.0,0,0,1,0,0,0,0
1987794033,5.27388,0.0,0,0,1,0,0,0,0
1988294038,5.26904,0.0,0,0,1,0,0,0,0
1988794029,5.20781,0.0,0,0,1,0,0,0,0
1989294586,5.28032,0.0,0,0,1,0,0,0,0
1989794037,5.25938,0.0,0,0,1,0,0,0,0
1990294063,5.27065,0.0,0,0,1,0,0,0,0
1990794029,5.25938,0.0,0,0,1,0,0,0,0
1991294032,5.28032,0.0,0,0,1,0,0,0,0
1991794072,5.24971,0.0,0,0,1,0,0,0,0
1992294029,5.27549,0.0,0,0,1,0,0,0,0
1992794032,5.20298,0.0,0,0,1,0,0,0,0
1993295218,5.27388,0.0,0,0,1,0,0,0,0
1993804042,5.25938,0.0,0,0,1,0,0,0,0
1994304031,5.27871,0.0,0,0,1,0,0,0,0
1994804029,5.26743,0.0,0,0,1,0,0,0,0
1995304122,5.27549,0.0,0,0,1,0,0,0,0
1995804062,5.2207,0.0,0,0,1,0,0,0,0
1996304032,5.26421,0.0,0,0,1,0,0,0,0
1996814072,5.20298,0.0,0,0,1,0,0,0,0
1997314370,5.27549,0.0,0,0,1,0,0,0,0
1997815384,5.2626,0.0,0,0,1,0,0,0,0
1998324104,5.20781,0.0,0,0,1,0,0,0,0
1998824031,5.28032,0.0,0,0,1,0,0,0,0
1999324030,5.27549,0.0,0,0,1,0,0,0,0
1999824029,5.20298,0.0,0,0,1,0,0,0,0
2000324038,5.27388,0.0,0,0,1,0,0,0,0
2000824193,5.2626,0.0,0,0,1,0,0,0,0
2001324024,5.21748,0.0,0,0,1,0,0,0,0
2001824029,5.27227,0.0,0,0,1,0,0,0,0
2002325804,5.27549,0.0,0,0,1,0,0,0,0
2002824032,5.2771,0.0,0,0,1,0,0,0,0
2003324092,5.2771,0.0,0,0,1,0,0,0,0
2003834033,5.19653,0.0,0,0,1,0,0,0,0
2006835459,5.27871,0.0,0,0,1,0,0,0,0
2007334580,5.27388,0.0,0,0,1,0,0,0,0
2007844051,5.2771,0.0,0,0,1,0,0,0,0
2008344107,5.20137,0.0,0,0,1,0,0,0,0
2008844092,5.27549,0.0,0,0,1,0,0,0,0
2009344074,5.21587,0.0,0,0,1,0,0,0,0
2009854875,5.2771,0.0,0,0,1,0,0,0,0
2010354029,5.27871,0.0,0,0,1,0,0,0,0
2010854040,5.20942,0.0,0,0,1,0,0,0,0
2011357168,5.23359,0.0,0,0,1,0,0,0,0
2011864036,5.2771,0.0,0,0,1,0,0,0,0
2012364081,5.26743,0.0,0,0,1,0,0,0,0
2012864029,5.26421,0.0,0,0,1,0,0,0,0
2013364031,5.26743,0.0,0,0,1,0,0,0,0
2013864029,5.21748,0.0,0,0,1,0,0,0,0
2014364180,5.27388,0.0,0,0,1,0,0,0,0
2014874029,5.20781,0.0,0,0,1,0,0,0,0
2015374906,5.27549,0.0,0,0,1,0,0,0,0
2015874029,5.2771,0.0,0,0,1,0,0,0,0
2016374029,5.23037,0.0,0,0,1,0,0,0,0
2016874068,5.27549,0.0,0,0,1,0,0,0,0
2017374693,5.27388,0.0,0,0,1,0,0,0,0
2017885171,5.20942,0.0,0,0,1,0,0,0,0
2018384036,5.25776,0.0,0,0,1,0,0,0,0
2018884199,5.28193,0.0,0,0,1,0,0,0,0
2019384029,5.27227,0.0,0,0,1,0,0,0,0
2019884031,5.2771,0.0,0,0,1,0,0,0,0
2020384030,5.20942,0.0,0,0,1,0,0,0,0
2020884044,5.21748,0.0,0,0,1,0,0,0,0
2021384142,5.26904,0.0,0,0,1,0,0,0,0
2021885653,5.21587,0.0,0,0,1,0,0,0,0
2022384031,5.27065,0.0,0,0,1,0,0,0,0
2022894029,5.2771,0.0,0,0,1,0,0,0,0
2023394029,5.20781,0.0,0,0,1,0,0,0,0
2023894100,5.2771,0.0,0,0,1,0,0,0,0
2024394031,5.27871,0.0,0,0,1,0,0,0,0
2024894853,5.27549,0.0,0,0,1,0,0,0,0
2025394038,5.26582,0.0,0,0,1,0,0,0,0
2025904030,5.20298,0.0,0,0,1,0,0,0,0
2026404072,5.27549,0.0,0,0,1,0,0,0,0
2026904114,5.26743,0.0,0,0,1,0,0,0,0
2027404042,5.21104,0.0,0,0,1,0,0,0,0
2027904041,5.25615,0.0,0,0,1,0,0,0,0
2028414857,5.26421,0.0,0,0,1,0,0,0,0
2028914029,5.27227,0.0,0,0,1,0,0,0,0
2029415667,5.25293,0.0,0,0,1,0,0,0,0
2029914029,5.27388,0.0,0,0,1,0,0,0,0
2030414032,5.21265,0.0,0,0,1,0,0,0,0
2030914029,5.27227,0.0,0,0,1,0,0,0,0
2031414029,5.27227,0.0,0,0,1,0,0,0,0
2031924053,5.26421,0.0,0,0,1,0,0,0,0
2032424029,5.26743,0.0,0,0,1,0,0,0,0
2032924032,5.21748,0.0,0,0,1,0,0,0,0
2033424052,5.27549,0.0,0,0,1,0,0,0,0
2033924194,5.26904,0.0,0,0,1,0,0,0,0
2034425789,5.27065,0.0,0,0,1,0,0,0,0
2034934780,5.27388,0.0,0,0,1,0,0,0,0
2035434806,5.2771,0.0,0,0,1,0,0,0,0
2035934032,5.26421,0.0,0,0,1,0,0,0,0
2036434037,5.2771,0.0,0,0,1,0,0,0,0
2036934031,5.27871,0.0,0,0,1,0,0,0,0
2037444029,5.27227,0.0,0,0,1,0,0,0,0
2037944079,5.27549,0.0,0,0,1,0,0,0,0
2038444102,5.21104,0.0,0,0,1,0,0,0,0
2038944029,5.20137,0.0,0,0,1,0,0,0,0
2039444033,5.25132,0.0,0,0,1,0,0,0,0
2039954029,5.21426,0.0,0,0,1,0,0,0,0
2040454069,5.28193,0.0,0,0,1,0,0,0,0
2040954032,5.27388,0.0,0,0,1,0,0,0,0
2041454125,5.2771,0.0,0,0,1,0,0,0,0
2041954035,5.2771,0.0,0,0,1,0,0,0,0
2042454029,5.26904,0.0,0,0,1,0,0,0,0
2042954029,5.2771,0.0,0,0,1,0,0,0,0
2043454485,5.27227,0.0,0,0,1,0,0,0,0
2043964062,5.20942,0.0,0,0,1,0,0,0,0
2044464457,5.26904,0.0,0,0,1,0,0,0,0
2044964069,5.27388,0.0,0,0,1,0,0,0,0
2045464084,5.27549,0.0,0,0,1,0,0,0,0
2045964031,5.27549,0.0,0,0,1,0,0,0,0
2046464025,5.2771,0.0,0,0,1,0,0,0,0
2046964852,5.28032,0.0,0,0,1,0,0,0,0
2047474619,5.27388,0.0,0,0,1,0,0,0,0
2047974628,5.2771,0.0,0,0,1,0,0,0,0
2048474081,5.2771,0.0,0,0,1,0,0,0,0
2048974652,5.27549,0.0,0,0,1,0,0,0,0
2049474029,5.27549,0.0,0,0,1,0,0,0,0
2049984327,5.27549,0.0,0,0,1,0,0,0,0
2050484029,5.27549,0.0,0,0,1,0,0,0,0
2050984022,5.20781,0.0,0,0,1,0,0,0,0
2051484032,5.27871,0.0,0,0,1,0,0,0,0
2051984197,5.26904,0.0,0,0,1,0,0,0,0
